q_number,q_type,q_variable,q_text,answer_type,params
1,radioButtons,skip_esc,Would you like to be able to skip doses when escalating?,categorical,"choices=Yes,No"
2,radioButtons,skip_deesc,Would you like to be able to skip doses when de-escalating?,categorical,"choices=Yes,No"
3,radioButtons,no_esc_if_observed_gt_target,Do you want to prevent escalation of doses if the overall observed DLT rate at the current dose level is above the target DLT rate?,categorical,"choices=Yes,No"
4,numeric,prior_var,What is the estimate of the prior variance?,numeric,min=0;step=0.01
5,numeric,stop_n_mtd,What is the minimum number of patients required at recommended dose before early stopping?,numeric,min=1;step=1
6,text,prior_ttp,"What are the prior estimates of the DLT rates at each dose? Please separate each value with a comma, ie 0.1, 0.12, 0.22, 0.5 for 4 doses.",comma-separated list,
7,text,true_dlt_ss,"What are the true DLT rates at each dose for this scenario? Please separate each value with a comma, ie 0.05, 0.15, 0.3, 0.7 for 4 doses.",comma-separated list,
8,numeric,prior_mtd,What is your prior guess of the MTD,numeric_bounded,min=1;max=10;step=1
11,numeric,n_sims$crm,How many simulations would you like to run?,numeric_bounded,min=1;max=10000;step=1
9,numeric,stop_tox_x,"When using the this Bayesian safety early criterion: p(true DLT rate at lowest dose > target DLT rate + x | data) > y, what would you like x to be? This is the excess toxicity above the target DLT.",numeric_bounded,min=0;max=1;step=0.01
10,numeric,stop_tox_y,What would you like y to be? This is the confidence level for safety stopping.,numeric_bounded,min=0;max=1;step=0.01
